Nome;CPF;Movimentacao_dia;data
Maria;00000000001;157.62;03/04/2022
José;00000000002;56.8;03/04/2022
João;00000000003;-106.57;03/04/2022
Luiz;00000000008;-36.47;03/04/2022
João;00000000003;-406.67;03/04/2022
Luiz;00000000008;226.83;03/04/2022
José;00000000002;492.13;03/04/2022
João;00000000003;203.97;03/04/2022
Maria;00000000001;518.89;03/04/2022
Maria;00000000001;214.81;03/04/2022
Guilherme;00000000010;-334.0;03/04/2022
Guilherme;00000000010;59.26;03/04/2022
Helena;00000000011;768.36;03/04/2022
Pedro;00000000005;169.51;02/04/2022
Marcos;00000000007;133.67;02/04/2022
Antonio;00000000006;161.22;02/04/2022
